GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",271712,*****,132164,296,9148,64,9895,1043,7651,1033,5811,242,3484,519,2265,764,1751,505,4165,1218,8864,868,7975,704,7295,1134,10475,1235,11030,416,10481,2,8421,856,3635,819,4224,799,3171,551,2471,595,3600,612,2550,617,2036,493,1766,428,139548,296,8701,66,7382,1001,9209,1001,5533,242,4064,836,2111,1575,2388,647,3040,2507,8477,213,7004,370,9987,1207,9608,1251,11623,227,10435,244,9187,1058,3571,805,4991,784,2302,608,3822,776,5334,822,4191,763,3513,715,3075,638
0500000US34003,34003,"Bergen County, New Jersey",895250,*****,437059,477,24535,2,27700,1968,30750,1950,19153,346,10807,575,4225,996,4689,1294,16876,1150,24648,622,26606,689,30405,2050,35610,2205,37750,214,34914,2,30010,1578,9576,1304,13140,1389,6995,1047,9675,1131,13705,1250,11553,1199,7070,1081,6667,1073,458191,477,23524,2,26406,1866,29323,1854,16923,345,10123,526,4032,1164,5639,1311,15004,1552,23630,5,25679,171,32227,2235,34573,2196,38784,252,36294,4,31119,1918,10884,1508,15625,1634,8569,1157,11123,1250,16831,1327,13511,1277,12917,1503,15451,1371
0500000US34005,34005,"Burlington County, New Jersey",446108,*****,222083,905,13196,113,12689,1118,16457,1119,9920,293,5171,623,3224,998,4002,1280,9466,1156,14576,686,13435,447,15983,1681,16458,1813,19235,320,17339,865,15012,1198,5018,1011,5088,909,3821,701,4298,661,6888,838,4487,689,3896,774,2424,623,224025,905,12682,54,13585,1394,14676,1407,9161,301,4654,222,3158,752,1392,456,7864,974,12531,104,12377,104,16023,1345,16008,1324,19265,28,17617,53,15042,1156,6419,895,6421,937,3736,845,5574,837,7711,924,5484,817,5696,828,6949,824
0500000US34007,34007,"Camden County, New Jersey",517879,*****,250871,389,17729,2,16967,1480,18076,1505,11645,334,7231,247,3179,844,3496,943,10095,1189,18462,168,16031,434,17611,1376,17556,1371,19401,500,18847,78,16098,1142,5372,912,5985,941,3501,666,5959,981,6258,811,3985,862,4577,786,2810,668,267008,389,17104,162,15660,1488,17620,1502,11041,334,6542,173,4088,974,3059,863,9385,996,18126,178,16486,60,17173,1901,19744,1910,20750,97,20035,77,15957,1293,8451,1244,7109,916,5185,797,5415,891,8049,998,6350,916,7298,1071,6381,931
0500000US34009,34009,"Cape May County, New Jersey",96092,*****,45771,614,2164,313,2621,680,2903,602,1658,84,1105,10,294,461,282,440,2568,540,2795,362,1689,286,2152,614,2776,556,3506,175,3890,350,3227,638,1823,464,1978,472,1070,385,967,391,2776,440,1754,404,1049,334,724,340,50321,614,1806,157,2153,708,3105,636,1957,311,845,29,233,355,2,9,2089,342,2651,424,1927,343,2746,762,2348,587,4175,477,4204,460,3922,597,1505,448,2556,580,1265,446,2671,531,2518,651,2687,464,1876,454,1080,414
0500000US34011,34011,"Cumberland County, New Jersey",157745,*****,81321,468,6175,72,4691,863,5447,858,3497,407,2375,443,1078,504,1445,591,3324,681,6872,598,6985,71,6395,882,5827,872,6230,357,4804,330,4963,751,1508,526,1712,553,1003,351,1553,445,2295,714,1213,350,827,323,1102,435,76424,468,5985,63,5417,851,4668,816,3171,441,2801,553,627,368,1260,458,2476,602,4276,402,4519,143,5136,862,5061,901,5364,141,5214,126,4138,662,2055,603,2485,715,1351,434,1695,533,2620,544,2236,587,1523,435,2346,636
0500000US34013,34013,"Essex County, New Jersey",769644,*****,371599,603,29063,2,24828,1802,28892,1802,16072,5,10298,283,4460,959,5720,1339,15023,1546,27654,5,27542,4,26673,2043,28308,2072,28497,146,25298,4,21749,1319,7191,1113,8667,1353,5288,1034,7198,1107,7938,1008,5882,1080,5877,1090,3481,959,398045,603,27408,4,26807,1792,24711,1777,15109,2,9977,278,5267,1002,4116,962,15169,1217,26231,300,27572,5,29456,1966,28523,1919,30750,4,27997,4,24162,1549,8945,1236,11224,1531,7703,1236,8301,1307,10998,1321,9442,1365,9349,1419,8828,1060
0500000US34015,34015,"Gloucester County, New Jersey",289920,*****,141192,939,8955,535,10317,1115,9584,1124,6420,681,3772,497,2065,920,1593,752,5735,957,9688,729,8668,754,10889,1249,9834,1246,11919,340,11255,457,8682,830,3615,802,3508,698,3147,790,3129,720,2557,559,2507,592,1694,396,1659,466,148728,939,8110,660,9329,1130,9836,1133,6357,449,3733,296,2023,924,2645,1146,4776,1059,8985,625,9814,493,10678,1379,10808,1215,12322,363,11463,334,9560,1100,3377,784,4658,947,2728,631,2752,602,4813,715,3620,698,2987,546,3354,683
0500000US34017,34017,"Hudson County, New Jersey",597924,*****,296442,294,20007,3,17265,1831,15617,1786,10029,5,6994,117,4661,1076,3983,1062,11918,1333,32705,2,33266,2,27955,1914,19925,1942,21358,270,18264,3,13920,1433,5455,1076,7546,1233,3907,896,5245,946,6236,836,3852,716,4194,687,2140,516,301482,294,19320,297,16704,1557,14481,1530,9665,117,6262,2,3453,926,3648,974,12077,1151,31200,3,30826,116,24221,1490,20502,1509,20496,3,19168,154,18164,1168,4904,1008,7500,1107,4973,895,5459,991,9141,1094,6895,1228,6667,1214,5756,1201
