GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",270991,*****,131134,684,8104,475,8165,1019,8495,1019,5363,524,2896,1049,2381,727,2773,975,4655,1097,8485,346,7367,797,7760,1207,7371,1257,8506,384,9791,3,11019,972,3583,916,4260,995,2652,629,3995,706,5858,760,3093,700,2261,458,2301,479,139857,684,7556,447,6584,1180,9495,1177,5200,527,3254,485,2625,843,1299,677,5503,1033,8133,374,7969,484,9284,1355,6881,1280,9450,59,10620,2,11041,1107,3945,753,5388,1066,3084,619,5156,900,6223,918,4752,865,3355,750,3060,681
0500000US34003,34003,"Bergen County, New Jersey",939151,*****,455140,128,25264,91,29507,1977,28826,1981,19156,2,11060,2,3940,1123,5254,1158,19124,1584,26034,153,28721,106,31951,1875,28234,1876,33452,8,35396,105,32370,1718,13122,1515,17075,1939,10608,1370,13497,1546,14910,1574,10327,1086,8396,1066,8916,1066,484011,128,24267,131,28297,1776,27559,1776,18425,5,9920,161,5841,1216,3882,936,18041,1273,25683,156,29238,99,34016,1860,29545,1895,36097,79,37472,126,36315,1743,13482,1411,17843,1604,11188,1558,15979,1598,18083,1820,15132,1520,10682,1406,17024,1423
0500000US34005,34005,"Burlington County, New Jersey",449284,*****,221357,426,11643,2,11851,1353,15567,1350,8914,384,5109,283,1666,568,3600,1002,11323,1093,15065,83,13777,77,13027,1266,14322,1273,15866,419,17225,494,16700,987,5720,956,8514,974,4356,763,6089,881,8382,905,5492,691,3579,694,3570,632,227927,426,11247,69,12283,1252,14421,1250,8764,384,4536,678,2720,758,2662,846,7589,1161,13025,54,13616,121,14938,1455,12721,1462,16281,432,18615,416,18593,1076,6453,939,7721,894,6106,895,7014,1107,9141,1032,7900,962,5005,875,6576,1003
0500000US34007,34007,"Camden County, New Jersey",510150,*****,247142,350,16106,119,16389,1451,17280,1436,10869,231,5776,219,2657,799,3168,866,10440,968,17920,29,17419,39,16303,1381,14658,1381,16420,461,17271,484,19063,1315,5533,1026,7589,1140,5233,868,6745,884,8170,1133,5400,819,3106,654,3627,756,263008,350,15335,2,16405,1607,15445,1607,9567,231,5381,317,2340,755,3162,739,10585,883,17749,2,17776,75,16751,1332,16110,1338,18165,350,18859,375,19698,1376,6859,959,8984,1082,5499,928,8089,1101,10690,1202,6987,710,5126,865,7446,902
0500000US34009,34009,"Cape May County, New Jersey",94430,*****,46576,570,2113,287,2637,575,2903,479,1345,166,1197,363,957,430,456,316,1849,665,2345,167,2069,160,2510,707,1876,483,3119,664,3226,284,2910,511,1517,390,2641,478,1894,472,2286,445,2532,546,1902,424,1241,328,1051,333,47854,570,1836,363,2023,529,2285,488,1500,251,344,184,345,226,400,308,1753,366,2528,465,2154,264,1920,664,2855,703,2744,271,3846,451,3518,583,1675,444,2776,483,1953,593,2468,493,3157,582,1843,469,1475,430,2456,477
0500000US34011,34011,"Cumberland County, New Jersey",153797,*****,78770,598,5226,462,4636,950,5958,993,3055,122,1985,546,989,502,636,422,3107,673,6531,143,6390,163,6431,723,4629,746,5402,110,5206,88,5373,693,1834,535,1694,531,1116,424,1729,430,3334,582,1884,490,1094,472,531,305,75027,598,4730,497,5369,905,4794,950,2858,2,1996,686,1138,693,707,613,2191,857,5145,271,4619,200,5128,1084,4203,1068,4580,313,5300,161,5179,766,1865,642,2479,768,1434,447,2426,698,3085,506,2927,622,971,540,1903,610
0500000US34013,34013,"Essex County, New Jersey",796914,*****,383430,130,26631,4,27700,1996,26302,1996,15918,2,10078,269,4459,1253,4988,1034,17801,1590,27329,2,25990,4,29881,2094,24320,2094,27827,2,27392,24,24732,1751,9644,1542,10701,1201,7331,850,8252,1019,10231,941,7840,905,3370,791,4713,930,413484,130,25484,2,25370,2194,26674,2194,15413,2,9999,283,6750,1446,4422,1074,14869,1560,27987,4,28084,4,30103,2095,27447,2090,29722,3,28835,4,27072,1632,9963,1174,14457,1363,8151,1246,8484,1265,16843,1470,9188,1053,8070,1068,10097,1249
0500000US34015,34015,"Gloucester County, New Jersey",292330,*****,141848,634,8317,542,9687,1226,9165,1145,6315,468,3768,393,2252,523,2931,1009,4480,1106,9467,154,9216,960,8498,1276,8752,1286,9800,284,10672,215,10696,1026,4376,893,4657,1017,2677,642,4896,903,4694,876,2994,532,1860,544,1678,541,150482,634,7609,417,9841,1036,8427,1036,6131,454,3913,508,2010,579,1760,625,5091,653,8774,377,8977,931,10760,1420,8577,1221,11070,327,11563,327,11091,979,4565,765,5274,858,3733,737,5499,846,5195,726,4025,709,2228,609,4369,781
0500000US34017,34017,"Hudson County, New Jersey",677983,*****,337305,240,23937,7,19317,1737,17004,1772,10519,3,6883,520,4164,910,5140,1098,13957,1370,36117,5,37750,106,30903,2103,24492,2119,21677,177,20545,3,18736,1530,6352,1162,9151,1422,4987,914,6393,1005,7467,989,5009,829,3685,836,3120,763,340678,240,22792,4,19278,1658,15918,1658,9833,180,5861,270,3164,931,4506,951,13544,1177,35127,115,35226,150,28068,1669,23141,1694,21649,2,21143,5,19006,1554,9919,1430,8844,1219,5537,1018,8019,1090,10604,1186,8792,1048,5375,990,5332,943
