GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",269918,*****,130063,831,6648,681,8871,1141,7659,1141,5557,512,4149,778,2130,977,1755,720,5457,1004,7855,712,7552,389,6133,1342,8804,1326,8285,634,9480,125,10361,1181,4193,1028,4534,851,2807,663,3603,804,6113,906,3444,734,3030,714,1643,512,139855,831,8253,681,7596,977,8322,976,5098,512,4433,972,2383,988,1974,982,4086,1007,7708,870,7359,755,7072,1228,9048,1255,9601,235,10308,46,11313,1264,4375,1051,4958,973,3374,711,4788,948,6212,1083,4147,871,3509,750,3938,849
0500000US34003,34003,"Bergen County, New Jersey",948406,*****,460103,90,25512,24,26481,2249,31759,2252,19021,28,10564,268,5977,1176,5755,1299,17164,1393,26746,5,28799,66,31409,2273,29786,2272,33513,98,34856,60,32806,1747,13080,1409,17921,1755,10378,1151,10934,1274,18949,1467,10621,1176,10031,1261,8041,1208,488303,90,24690,62,27645,2012,28281,2022,18081,4,10618,547,4129,1067,5477,967,18047,1519,25760,4,29276,50,33238,2192,30910,2194,35480,7,37367,189,37030,1839,13354,1645,18296,1587,10750,1398,15096,1661,20873,1519,14597,1668,12281,1607,17027,1554
0500000US34005,34005,"Burlington County, New Jersey",448596,*****,220692,601,11770,95,12611,1145,14267,1160,9072,571,5631,467,2484,862,3554,900,9479,1115,15256,110,13755,79,14996,1174,12173,1189,15567,129,16739,37,16774,1229,5819,998,8553,1000,4286,760,6835,879,8190,974,5510,735,4240,682,3131,640,227904,601,11227,99,12581,1418,13821,1421,8548,524,4697,476,2679,773,2791,782,7027,874,13239,99,13617,13,13753,1382,13952,1391,15818,2,18145,124,18858,1328,6628,1099,7977,1246,5160,907,7824,1130,10036,1043,8538,956,4379,832,6609,920
0500000US34007,34007,"Camden County, New Jersey",510719,*****,246788,339,16035,221,15650,1701,17841,1701,10451,292,6326,1003,2765,932,2047,687,10987,1279,17391,388,17375,78,14810,1782,16523,1781,16348,40,16749,42,16755,1318,7772,1151,7992,1219,5027,899,6030,829,9239,1087,6165,1039,3327,675,3183,758,263931,339,15197,2,15469,1496,16304,1496,9627,293,5498,252,2941,1057,2835,1129,10033,1257,18044,206,17555,4,17909,1801,15307,1811,17806,59,18545,2,18673,1623,7835,1323,9414,1232,5587,1104,7677,914,11368,1256,7625,1167,6807,1115,5875,913
0500000US34009,34009,"Cape May County, New Jersey",93553,*****,46006,564,2537,461,2001,663,2647,629,1446,219,1092,535,644,367,628,394,1671,527,2503,255,2433,491,2206,614,1902,573,2382,201,3370,313,3069,550,1743,454,2842,492,1173,336,2420,472,2976,503,1728,417,1323,387,1270,427,47547,564,1835,235,2047,511,2355,543,1358,260,704,107,285,238,388,262,1468,360,2035,170,2763,618,2395,649,1996,591,2895,492,3447,309,3503,657,2211,561,2725,538,1731,500,2633,530,3111,502,2057,460,1766,451,1839,420
0500000US34011,34011,"Cumberland County, New Jersey",152538,*****,78043,787,5109,659,5417,852,4804,826,2688,331,2369,1043,1953,1072,735,380,2471,833,5416,479,5819,676,6274,1051,5370,1060,5186,603,5199,650,4983,733,1796,607,2552,690,1189,405,2007,667,2715,535,1673,485,1545,495,773,364,74495,787,4770,608,6004,766,3808,766,3309,386,1173,445,1192,636,903,685,2686,703,4861,21,4123,416,4679,847,4787,980,4749,4,5131,230,4062,759,2487,682,2809,654,1756,444,1972,513,3274,522,1979,564,1582,472,2399,553
0500000US34013,34013,"Essex County, New Jersey",808285,*****,389099,233,26862,*****,26869,1971,27725,1971,16267,233,10298,301,5695,1300,5459,1356,15398,1656,27937,*****,26609,*****,26217,2236,28442,2237,28001,*****,27456,*****,24687,1450,8629,1172,12592,1442,5478,856,9018,1189,12494,1230,7673,978,3868,742,5425,944,419186,233,25748,*****,25021,2004,26989,2004,15299,233,9634,279,6442,1454,5394,1275,14689,1618,28485,*****,28094,*****,26882,2090,32006,2091,29795,*****,28900,*****,26328,2055,11938,1789,13856,1776,8467,1392,10952,1634,14921,1333,10884,1346,8181,1050,10281,1323
0500000US34015,34015,"Gloucester County, New Jersey",292206,*****,142384,863,7061,455,9715,1393,10563,1527,6011,558,3985,504,2514,701,2004,675,4702,913,9748,555,7974,812,8718,1207,9339,1525,9374,653,11364,567,10404,1148,4685,1090,4778,914,3393,744,4754,780,3933,664,3889,616,1793,497,1683,452,149822,863,7048,558,7748,1149,10172,1166,6342,601,3641,603,1238,453,1549,625,6904,898,8353,612,8719,267,9005,1281,10065,1258,11169,265,11047,247,10575,1019,4777,839,6197,920,3043,682,5240,892,5660,847,5014,762,3020,594,3296,671
0500000US34017,34017,"Hudson County, New Jersey",691643,*****,343638,460,24151,4,18278,1944,18557,1964,10547,443,7577,433,3950,1245,5576,1294,12503,1502,37151,91,38110,3,32262,2065,24623,2067,21591,2,20740,109,18606,1694,8214,1363,8124,1239,4223,971,7053,1291,8808,1295,6605,946,2881,908,3508,873,348005,460,23210,196,20185,1615,15438,1627,9655,435,5864,229,3239,930,4302,1179,13728,1456,35837,136,35802,3,30440,2239,22043,2242,21859,3,21245,56,18090,1439,8707,1401,11556,1338,6736,1262,6490,1071,12370,1213,8840,1246,5930,1184,6439,1235
