GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",270681,*****,131997,604,9641,525,8307,1024,9646,1024,5916,228,3889,840,2839,1430,1671,1906,3706,1114,7984,844,8530,408,9245,1295,10365,1262,11128,235,9697,294,7039,883,2738,579,3588,672,2696,716,2534,664,3518,732,4079,740,1601,573,1640,632,138684,604,8078,552,8296,976,8863,1008,5696,228,3595,678,2787,619,965,634,5132,824,7636,458,8643,401,9382,1124,11162,1128,11179,2,10066,2,7894,893,3407,707,3328,702,2751,600,3350,552,4596,735,4770,801,3420,722,3688,936
0500000US34003,34003,"Bergen County, New Jersey",894840,*****,435382,489,25108,122,28951,1754,27789,1750,18216,514,11332,636,5148,1366,5114,1341,16150,1914,23500,197,25353,50,32204,2321,34844,2304,37912,56,34929,118,28163,1815,12706,1559,12507,1699,8281,1365,8595,1066,13619,1394,10845,1294,7070,1114,7046,1089,459458,489,23947,120,27535,1894,26773,1912,17570,499,10176,633,4210,1070,6058,1358,14764,1514,21772,236,25338,46,31408,2252,37764,2252,39622,45,36541,82,28166,1952,14510,1460,15736,1451,9846,1431,10504,1312,16438,1548,14377,1405,12152,1607,14251,1855
0500000US34005,34005,"Burlington County, New Jersey",445475,*****,220534,749,13525,439,13713,1394,14990,1394,9340,258,6250,683,2740,730,3565,827,8940,1023,14374,652,14474,576,16090,1603,18518,1545,18415,374,16520,386,11779,1199,5971,822,5901,1100,3877,860,5305,921,5416,795,4142,677,4112,656,2577,608,224941,749,12759,438,13441,1327,14233,1327,9410,257,4660,281,2400,706,2799,734,7606,967,13080,306,13446,3,14596,1325,19741,1342,19340,344,16684,418,13701,1118,5285,1003,7257,1046,5771,1052,5102,819,5984,769,6155,1021,5122,810,6369,1114
0500000US34007,34007,"Camden County, New Jersey",517234,*****,250928,461,17884,4,15392,1528,20015,1535,12033,414,7403,468,1922,647,3402,1082,12095,1343,17098,273,15372,2,18329,1524,18200,1519,19970,264,18538,7,15308,1224,4832,1006,7061,1134,4191,827,4259,764,6392,842,4478,619,3438,663,3316,668,266306,461,17016,2,17994,1609,15799,1612,11491,377,6854,283,2681,707,2943,955,10466,1093,17656,157,15558,2,18339,1522,19825,1536,21612,354,19534,354,17489,1223,6123,956,6875,1031,3475,685,6854,1057,7773,979,6566,1039,6207,1003,7176,1057
0500000US34009,34009,"Cape May County, New Jersey",95838,*****,46318,674,2541,291,2263,655,2967,612,1958,225,1453,395,169,309,43,66,2214,303,2462,58,2833,544,3547,1033,3271,1199,3376,214,3379,58,2705,463,1353,370,1568,393,1271,409,1470,379,1535,368,1819,370,1276,426,845,357,49520,674,2271,552,2127,488,2642,489,2274,566,380,634,13,39,6,17,2576,642,2749,183,2328,161,3352,897,3720,843,3507,211,3671,315,3697,548,1293,386,1419,376,1321,436,1788,477,1951,526,2994,608,1818,497,1623,531
0500000US34011,34011,"Cumberland County, New Jersey",156830,*****,80539,415,6027,66,4836,807,5346,791,3025,397,1730,193,2011,919,845,528,3450,1313,6697,722,7228,226,6174,914,7001,859,5680,650,4740,366,4274,671,1662,529,1377,432,978,312,1273,435,2269,699,1533,495,1586,607,797,402,76291,415,5931,116,4484,906,5143,908,3564,394,2071,394,750,375,712,467,2509,500,5354,86,5114,160,4171,812,6685,739,4762,327,5050,267,3473,673,2176,541,2426,659,1401,438,2198,669,2221,546,2051,687,1836,541,2209,581
0500000US34013,34013,"Essex County, New Jersey",770675,*****,371220,611,28698,4,25666,1911,28774,1881,17305,354,11040,194,7636,1420,7510,1606,11061,1465,25425,4,24610,2,26386,1801,28860,1786,28902,5,25461,4,21556,1449,7742,1332,8475,1203,5130,1002,8427,941,7290,939,6892,889,4875,713,3499,757,399455,611,27204,2,26647,1891,25398,1956,15943,295,10898,494,5028,1046,4954,1169,15589,1141,23996,161,25465,4,31656,2062,27708,2069,31111,151,28238,83,23572,1490,9427,1335,11714,1210,7287,1208,9117,1183,10966,1300,9947,1105,8441,1065,9149,1051
0500000US34015,34015,"Gloucester County, New Jersey",287860,*****,140893,740,9161,396,9123,876,9997,914,5987,213,4893,548,2013,554,1987,640,5497,747,10124,400,8153,434,10220,1202,11284,1233,11921,340,11029,484,8622,938,2924,606,4003,842,2107,508,2491,464,3720,552,2518,544,2059,606,1060,410,146967,740,8091,396,9677,1104,8280,1095,6114,210,4113,461,4054,989,1116,494,5732,959,9858,411,9009,507,10704,1197,11055,1190,12118,210,11190,323,8335,1029,3361,669,4471,791,2082,477,3026,617,4541,684,3793,678,3115,663,3132,662
0500000US34017,34017,"Hudson County, New Jersey",595419,*****,295762,561,20985,405,17215,1846,18050,1846,10373,446,7488,291,4292,1135,3182,914,13063,1277,22807,2,27906,431,30977,2180,25830,2254,22798,299,18626,4,14703,1453,5807,1046,5954,980,3897,814,4128,878,7249,1054,4910,882,3450,699,2072,755,299657,561,19541,4,15733,1572,17609,1572,10881,446,7340,2,4297,1130,3802,725,11126,1197,19695,3,26073,2,27960,2059,23943,2059,22478,391,19490,177,15281,1220,6380,1113,8985,1210,4619,964,6190,989,8441,1156,7127,878,6628,961,6038,891
