GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",275209,*****,133332,558,8162,414,7424,982,9649,982,5773,412,4272,452,1280,535,1777,718,6012,934,8316,7,8067,727,7148,1227,8714,1364,8578,534,10619,4,9473,947,3843,946,5138,907,2982,764,3763,797,5368,870,3206,558,2374,515,1394,487,141877,558,8476,415,8229,863,8200,859,4918,415,4154,726,1118,481,2277,698,5588,1012,8387,4,8195,2,7543,1157,9582,1157,9951,87,11216,97,10085,1265,3374,868,6236,1067,2832,659,4606,746,6067,796,4838,775,3052,646,2953,548
0500000US34003,34003,"Bergen County, New Jersey",933572,*****,452192,340,25039,175,28805,1636,30075,1654,19284,2,11565,626,5282,1223,5892,1275,16060,1608,25976,729,28166,31,29854,2093,32103,2069,33973,5,36253,2,31455,2025,11807,1557,16559,1845,9472,1155,12330,1469,15194,1456,11608,1440,7282,1128,8158,1130,481380,340,23991,181,27028,1898,29571,1900,18333,2,10801,752,5225,1114,5726,1207,15035,1401,25860,238,29213,4,29334,2411,35229,2411,36697,2,38113,80,36790,2011,13316,1576,15541,1779,9401,1403,13778,1497,19824,1598,15311,1456,12295,1476,14968,1576
0500000US34005,34005,"Burlington County, New Jersey",449722,*****,221077,408,11778,53,14121,1372,14131,1378,9573,404,5468,301,2580,909,3358,951,10730,1050,14436,4,13399,36,13993,1158,13704,1160,16313,2,18226,35,17520,1064,5717,874,6067,957,4277,640,5947,751,7311,888,4937,671,4235,714,3256,700,228645,408,11491,27,12939,1054,14769,1060,8749,393,4768,390,2543,643,2261,651,8325,769,12858,319,13466,89,13041,1170,15559,1164,17331,96,19118,13,17262,1027,6950,876,7079,1039,4936,900,6313,803,9868,1020,7152,1071,5938,862,5929,758
0500000US34007,34007,"Camden County, New Jersey",511038,*****,246886,332,16560,2,17932,1845,15869,1846,10827,356,6201,237,2714,779,3974,911,9973,1051,17572,2,16827,31,17205,1642,14714,1715,16365,333,18148,4,17349,1269,6359,1092,7753,977,4438,704,6437,803,7641,892,4886,695,3443,585,3699,670,264152,332,15601,2,16459,1698,15881,1692,10179,287,5560,195,3212,952,3404,854,9934,1071,17322,3,17451,4,15918,1386,17515,1386,18378,81,20359,220,17890,1124,6361,988,10518,1307,5827,872,7607,976,9117,918,6227,880,6615,880,6817,908
0500000US34009,34009,"Cape May County, New Jersey",95344,*****,46997,533,2402,434,3179,626,1645,461,1925,350,1176,243,736,425,664,298,1878,522,2553,428,2333,277,1761,501,2492,545,3074,427,3639,439,3189,538,1847,467,2160,531,1626,422,2068,515,2328,503,2291,387,1150,308,881,311,48347,533,2099,482,2097,600,1949,591,1699,245,847,379,415,293,450,354,1677,360,2294,281,1999,277,2193,883,2718,596,3268,530,3916,279,3979,661,1902,567,2262,513,1564,373,2081,430,3243,486,2172,488,1745,497,1778,529
0500000US34011,34011,"Cumberland County, New Jersey",157389,*****,81144,555,5403,173,6580,838,3957,842,3246,488,1445,529,1648,848,1051,505,3690,743,5990,567,6858,119,6565,907,5983,981,5211,578,5393,701,5193,646,1839,538,1958,588,1712,446,1551,499,2393,550,1758,469,885,447,835,406,76245,555,5370,194,5674,914,4439,902,2745,508,1557,327,782,572,1235,502,3063,792,5016,173,5008,192,4795,865,4444,856,5124,157,5196,73,5480,718,2016,580,2153,610,2201,629,1742,530,2489,611,1709,530,1848,596,2159,580
0500000US34013,34013,"Essex County, New Jersey",795723,*****,382516,469,27408,118,29106,1753,25214,1753,15891,2,10613,283,6687,1251,5450,1112,15725,1533,26336,2,26225,180,26226,2172,28385,2188,28066,103,28061,283,23303,1552,9239,1479,10890,1204,6559,983,7709,1029,9814,1022,6264,941,4311,848,5034,917,413207,469,26295,119,25805,2037,26509,2072,15897,54,9625,239,4778,1008,4792,976,17915,1296,27197,4,28263,276,28184,1967,29753,1967,29641,2,29697,2,27119,1857,10134,1589,13121,1479,7650,1119,9226,1225,14012,1406,10542,1198,6967,1151,10085,1284
0500000US34015,34015,"Gloucester County, New Jersey",290951,*****,140872,574,8156,200,9325,902,10233,902,6031,415,3575,421,1425,408,1895,553,6561,744,9156,398,8332,639,8466,1109,9682,1037,10362,434,11252,293,10618,892,4172,845,3933,641,2965,660,4351,787,4082,708,2352,497,1755,468,2193,671,150079,574,7742,200,9079,1251,9645,1263,6568,409,3063,431,2014,794,2737,1276,5536,1199,8350,583,9275,563,9510,1094,10018,976,11009,368,11943,375,10232,1010,3325,722,6637,1053,3537,599,3183,562,6006,763,3184,663,3220,667,4266,668
0500000US34017,34017,"Hudson County, New Jersey",669115,*****,332668,262,23795,3,18116,1509,17402,1549,10388,5,7380,2,4724,1001,4632,876,15063,1151,35345,140,36638,4,30946,1843,22871,1848,21907,211,21072,36,15539,1636,5806,1016,11305,1432,4846,827,5686,862,7486,974,5585,721,3040,593,3096,656,336447,262,22719,2,16866,1595,17246,1629,9653,107,6465,2,3897,996,4563,994,14045,1182,33854,173,34275,84,24734,1707,25800,1703,21712,2,21523,170,18388,1400,7960,1176,10434,1296,5027,933,7728,1100,10197,1096,8483,1018,4890,990,5988,776
