GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",275422,*****,134215,799,8617,378,8521,1127,9536,1121,6144,747,3518,462,1942,725,1956,841,5891,832,7891,500,7139,563,7202,1077,9631,1129,10074,2,10823,4,8318,1057,4485,930,4671,1019,3148,640,3208,675,4670,671,2888,590,2531,475,1411,427,141207,799,8145,362,7835,1230,8837,1232,5275,746,3406,419,2308,706,1722,438,5553,781,8004,392,7390,383,7861,1412,10625,1501,10698,2,11380,2,9267,890,4136,834,5208,982,3266,707,3818,730,5495,806,3954,569,3515,587,3509,588
0500000US34003,34003,"Bergen County, New Jersey",918888,*****,443760,149,24669,2,28709,1873,30025,1868,19381,81,11066,477,4104,801,5895,1017,15583,1323,25904,645,27423,3,29456,2349,32251,2349,35306,48,35715,131,32871,1703,11200,1389,13726,1556,9599,1254,11430,1275,12737,1304,11142,1209,8097,934,7471,981,475128,149,23839,144,26192,1903,30336,1898,18131,2,10740,69,5026,1182,4775,982,13119,1219,26636,532,28793,4,31694,2295,33938,2298,38071,154,37947,30,34979,2033,12556,1592,15697,1509,11175,1336,11845,1300,17100,1503,14447,1324,13130,1225,14962,1263
0500000US34005,34005,"Burlington County, New Jersey",451336,*****,222183,563,12532,4,13431,1374,15688,1374,9491,458,6124,949,3012,836,3127,805,9592,1050,13792,792,13356,199,12748,1260,16291,1267,17877,113,18652,186,15193,971,5042,724,7462,801,3986,712,5481,994,7460,1021,5382,696,3947,670,2517,508,229153,563,12022,2,14026,1457,14443,1473,9068,455,5019,384,2665,769,1201,402,8376,890,13097,2,13347,276,12853,1456,17037,1446,18683,3,19034,93,16435,1089,6036,949,7825,1055,4694,710,5520,835,8996,956,5803,777,6410,845,6563,874
0500000US34007,34007,"Camden County, New Jersey",513539,*****,248387,435,16845,76,18273,1400,16507,1410,10824,289,6538,210,3648,843,3863,1118,9708,1343,17534,2,16562,218,15465,1527,16825,1524,18061,430,18360,396,16910,1157,6091,1066,7449,1124,4955,767,4709,705,7593,900,5359,745,2718,443,3590,640,265152,435,15718,2,15648,1436,17574,1438,10256,290,5749,115,3341,722,3670,790,9791,935,17488,4,17511,140,15483,1391,18975,1421,19237,47,20359,2,18389,1408,6772,958,8628,1060,5850,921,6612,794,8164,859,5857,923,6208,757,7872,833
0500000US34009,34009,"Cape May County, New Jersey",96304,*****,46881,563,2126,279,2344,676,2678,605,1848,257,1408,311,744,398,286,205,1623,399,2708,472,2116,307,1656,487,2962,607,3674,580,3658,297,4038,571,1731,558,1808,514,1233,361,1809,377,2335,453,2038,420,1270,359,788,277,49423,563,2250,335,2560,681,2055,569,1633,178,1061,260,503,272,387,345,1537,377,2691,583,2113,220,1804,488,2797,575,3626,399,3813,188,4139,634,1953,492,2176,432,1380,432,2086,471,3045,608,1512,331,1830,376,2472,500
0500000US34011,34011,"Cumberland County, New Jersey",157785,*****,81362,598,5427,84,5301,892,5316,886,3166,528,1652,555,737,483,1612,734,4197,873,6456,153,6689,29,5601,953,6430,970,5884,107,5432,72,5059,700,2051,582,2487,668,1351,361,1662,429,1608,442,1258,303,1169,339,817,378,76423,598,5236,168,5336,702,4640,684,2978,563,1912,591,731,270,565,335,3492,629,4967,152,4702,155,5022,685,4483,711,5146,114,5532,254,5343,783,1819,502,2482,676,1415,462,2007,604,2488,478,2488,579,1370,417,2269,533
0500000US34013,34013,"Essex County, New Jersey",787744,*****,378422,533,27062,4,25742,1888,28792,1874,16155,307,11175,314,4343,880,5793,1057,16950,1247,26068,4,26310,3,27127,1689,28236,1720,28479,457,26962,3,22550,1516,7461,1104,11253,1311,6225,942,7195,774,9255,824,6550,915,5233,872,3506,697,409322,533,26163,443,25067,1595,27659,1578,16096,307,10079,260,7360,1070,4934,1047,14452,1211,26650,4,28468,301,28766,1807,29312,1806,29831,4,29915,286,27189,1492,9516,1176,11420,1277,8828,995,7729,939,12106,1102,9571,995,8138,1073,10073,1096
0500000US34015,34015,"Gloucester County, New Jersey",289586,*****,140796,585,8378,459,9604,1167,10763,1194,6486,544,3499,494,3614,951,2408,784,4551,936,8117,524,8292,522,7901,1171,10350,1133,11195,554,11519,411,9359,863,3940,700,4269,744,2554,600,3517,626,4122,669,2731,529,2187,501,1440,404,148790,585,8078,214,10055,1053,8671,1063,6244,575,4481,760,1613,529,1802,659,5709,1008,8046,486,9125,543,8557,1170,11241,1265,11994,345,11906,335,10558,1008,3738,684,4862,773,3041,528,3738,612,4794,597,4012,745,3237,663,3288,647
0500000US34017,34017,"Hudson County, New Jersey",652302,*****,324171,364,22559,299,17700,1393,17288,1396,10699,2,7934,2,5029,1181,4130,1120,15685,1602,35447,2,35020,185,26063,1811,25744,1834,21660,117,20077,2,16231,1429,7105,1233,7744,1285,4243,727,4453,720,8015,876,4876,721,3564,761,2905,706,328131,364,21565,300,17934,1604,15456,1604,10069,3,6553,351,3719,785,3639,813,15496,1133,33938,84,33174,360,23841,2145,24500,2145,21836,258,20680,159,18235,1399,7129,1207,9729,1272,5675,914,6903,915,8970,972,7085,956,6482,895,5523,994
