GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",263670,*****,128571,835,7108,1260,7030,1262,9750,1473,5266,502,3409,873,1945,790,1763,682,5049,1049,8150,918,7182,758,6950,1535,8496,1739,6830,551,8694,1025,9360,1410,3386,939,6318,1209,2584,637,4884,934,6121,1055,3561,739,2879,743,1856,600,135099,835,6386,618,7374,1315,8300,1515,4281,702,3519,740,2110,510,2333,841,4555,1002,7220,683,7571,2,8075,1216,7962,1316,7689,562,9638,436,10088,1168,4180,991,6588,1161,2821,645,5555,864,6968,852,4837,858,3620,728,3429,737
0500000US34003,34003,"Bergen County, New Jersey",932202,*****,452446,1252,24619,861,27597,2301,29087,2303,18657,716,10195,156,6220,1485,4924,1087,16705,1558,26335,58,27712,173,29004,2125,31701,2171,31107,693,32774,27,33849,2255,11089,1674,19180,2170,8885,1539,13008,1512,20414,1703,12355,1729,8692,1531,8337,1343,479756,1252,24554,863,25949,2140,28248,2150,17599,726,9986,550,5142,1338,5938,1520,15053,1553,26836,934,27324,21,29518,2396,33591,2381,33105,4,35043,27,35058,2580,13997,2013,19895,2049,10685,1520,14423,1726,22910,1992,18065,1747,12372,1642,14465,1699
0500000US34005,34005,"Burlington County, New Jersey",445349,*****,219259,496,11676,*****,13200,1300,13420,1299,8647,496,4838,453,2873,776,4137,1114,8299,1179,14981,418,14022,*****,14263,1330,13396,1330,14970,389,15071,389,16216,1290,5733,1145,10020,1259,4369,751,6946,952,8652,990,6150,718,3493,779,3887,819,226090,496,11057,*****,12142,1254,13611,1254,8406,495,4686,566,2019,761,2088,717,7959,938,13480,523,13580,*****,14593,1392,13060,1392,15192,550,16248,549,18588,1361,6742,1136,8772,1152,5485,751,7840,1009,10552,1107,8415,1131,5631,940,5944,931
0500000US34007,34007,"Camden County, New Jersey",506471,*****,244527,560,15458,4,17013,1613,15693,1613,10256,353,7061,933,2132,749,3432,827,8312,1085,17826,178,17438,3,18507,1553,12810,1553,15461,2,15866,2,16448,1501,7171,1028,9003,1218,6329,959,6407,997,8450,1086,7224,888,3484,797,2746,846,261944,560,14822,4,15425,1518,15920,1518,9418,308,5558,888,2489,868,3894,1217,8162,1408,17923,4,17658,4,16779,1730,16562,1739,16760,2,17535,2,17097,1592,7322,1040,11601,1388,6406,966,7548,1149,12192,1144,8161,1243,5187,843,7525,1282
0500000US34009,34009,"Cape May County, New Jersey",92039,*****,44588,1012,1841,372,2653,766,2405,625,1365,175,697,397,772,354,391,327,1110,395,2330,280,2179,329,2761,801,1791,580,2965,724,2922,486,2628,573,1947,595,2744,589,1195,342,2269,451,3101,433,1883,435,1393,370,1246,412,47451,1012,1780,317,2268,571,2299,520,1339,246,567,488,119,145,607,408,1869,766,2196,307,2533,431,2403,595,1890,651,2444,393,2705,161,4299,744,1770,664,2629,756,1593,491,2652,698,3415,575,2709,540,1739,504,1626,544
0500000US34011,34011,"Cumberland County, New Jersey",149527,*****,77328,667,3982,618,5225,928,6127,1096,4057,408,2513,981,482,454,741,472,2070,696,6249,809,6154,141,6910,1262,4072,907,5399,1015,4030,542,4823,759,1466,609,2778,672,1913,625,2012,553,2617,571,1717,430,949,381,1042,368,72199,667,4204,520,4289,1016,6061,1013,1611,405,1537,756,429,392,860,549,2638,823,4908,702,4712,182,4388,948,4405,939,4617,773,4751,783,4487,659,2080,785,2968,786,2132,797,2682,777,2647,686,2410,631,1406,497,1977,641
0500000US34013,34013,"Essex County, New Jersey",798975,*****,384491,284,26889,203,25700,2076,28457,2121,15729,4,10097,282,3596,959,5263,1267,15924,1484,27398,2,26938,158,25059,2099,28536,2037,26977,3,26164,154,22558,2199,9388,1742,14450,1808,7187,1399,9037,1339,11552,1477,8582,1013,4782,898,4228,966,414484,284,25753,206,23467,2396,28265,2396,15118,3,9554,376,6495,1390,3775,1101,14629,1464,28150,207,28008,325,29238,1919,27987,1919,28789,229,27994,157,26913,2153,9270,1695,15372,1964,7322,1277,12347,1571,15996,1685,12559,1459,7423,1229,10060,1530
0500000US34015,34015,"Gloucester County, New Jersey",291636,*****,141734,817,7729,354,9338,1194,9043,1281,5899,436,3501,362,2556,1114,940,553,6343,1140,9027,758,8502,586,8986,1216,8896,1269,9624,679,10148,366,9501,1014,5127,852,6132,1067,2812,734,4518,878,5698,817,3124,498,2580,563,1710,574,149902,817,7533,639,8714,1003,9148,956,5695,397,3607,433,1595,644,2281,1047,5158,1093,8721,479,8622,662,9712,1320,9575,1357,10492,586,10565,330,10061,1033,4816,978,6725,1071,3637,779,4804,710,7039,875,4032,724,3927,712,3443,766
0500000US34017,34017,"Hudson County, New Jersey",672391,*****,334604,912,23667,4,18610,1699,17490,1699,9033,811,7356,807,3481,997,3782,1154,12576,1490,35088,3,37702,3,30714,2169,25677,2215,20794,3,19551,501,18347,1460,8004,1085,8314,1457,4897,1151,7280,1345,8863,1467,6532,910,3422,763,3424,737,337787,912,22758,180,19195,1705,15814,1705,9960,811,6043,649,2967,987,3768,1182,12095,1276,33881,144,34899,3,27243,2152,24052,2172,20363,5,19791,3,18602,1702,8731,1430,9883,1411,5701,1221,7472,1109,12912,1282,8630,1348,5984,1107,7043,1323
