GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",274219,*****,131870,729,8278,551,8231,1018,8544,1018,5282,474,3574,622,2262,801,1885,752,5425,1033,8307,423,7753,26,8146,1289,7604,1213,8242,566,10242,16,9058,937,4319,917,5146,739,2633,787,3010,598,6272,839,3440,839,2501,594,1716,553,142349,729,8177,551,7449,1095,8847,1100,5324,456,4698,928,1693,791,1727,634,5064,974,8319,354,7740,347,8226,1210,8941,1306,10037,378,10765,349,10693,932,3814,772,5753,905,3675,889,4419,849,5478,920,3747,764,3494,1025,4269,818
0500000US34003,34003,"Bergen County, New Jersey",938506,*****,454754,160,24962,87,29649,1862,29071,1856,19156,3,11566,472,6253,1295,5453,1210,15730,1485,26107,80,28446,4,30758,1653,30584,1666,33796,95,36296,122,34372,1949,12037,1557,14855,1490,8584,1402,14079,1506,15481,1422,12368,1156,7154,1084,7997,1046,483752,160,23908,64,28161,1815,28029,1799,18493,3,10597,4,4536,1198,5584,1132,16753,1469,25635,164,29225,67,31428,2392,33108,2402,36479,2,37906,3,36760,1802,12590,1513,17579,1965,9552,1289,15482,1644,19402,1693,14423,1475,12600,1479,15522,1166
0500000US34005,34005,"Burlington County, New Jersey",450226,*****,221735,620,12105,484,12913,1277,14745,1295,9316,239,5685,463,3207,975,3764,875,9626,1092,14533,39,13681,9,12808,1065,14535,1079,16014,99,17972,67,17688,1162,5130,813,7232,907,4684,740,5424,843,8005,999,4365,845,4380,804,3923,778,228491,620,11253,482,14465,1202,12632,1205,8944,224,4779,637,2872,830,1986,722,8062,963,12885,19,13579,188,12791,1393,15528,1404,16735,109,18981,120,18304,1185,6365,1029,7482,1004,5410,678,8054,996,8128,876,6139,921,5745,870,7372,1009
0500000US34007,34007,"Camden County, New Jersey",510923,*****,246577,320,16475,164,17155,1469,16534,1494,10385,274,6238,332,2772,729,3563,1073,9610,1343,17779,100,16996,4,14741,1513,16558,1516,16794,152,17842,141,18542,1153,5695,986,7495,995,4435,1023,7099,1001,7738,996,4856,942,3808,826,3467,735,264346,320,15631,143,14794,1671,17068,1674,10257,274,5372,2,3096,874,2908,952,10245,943,17548,7,17739,117,16803,1600,16640,1605,18219,91,19567,90,19170,1488,6772,1162,9425,1192,6091,1134,7450,1110,9918,1066,7125,979,6113,892,6395,907
0500000US34009,34009,"Cape May County, New Jersey",94727,*****,46593,571,2332,264,2389,691,2513,440,1560,428,1023,215,969,409,431,283,1648,414,2674,417,2154,326,2165,618,2499,658,2982,454,3611,367,3179,615,1436,413,2742,498,1670,412,2147,391,2477,476,1695,377,1096,289,1201,419,48134,571,1835,280,2138,505,1937,459,1968,340,945,305,169,209,360,255,1576,330,2384,288,2137,386,2479,719,2120,615,2873,211,3919,444,3694,549,1884,472,2582,565,2224,482,2405,548,2624,467,2265,589,1850,478,1766,450
0500000US34011,34011,"Cumberland County, New Jersey",155854,*****,80775,569,5105,84,6213,1012,4193,991,3461,444,1218,348,868,499,999,466,3921,773,6637,106,7003,590,5972,897,5665,907,5598,125,5438,98,5785,739,1624,493,1670,529,1499,581,2048,495,2052,486,1674,487,846,332,1286,352,75079,569,4999,66,4363,774,5739,765,2513,444,1457,506,1075,442,1381,487,2347,634,4874,57,5014,330,4130,827,5538,793,4790,18,5268,108,4883,716,1931,590,2548,764,1251,374,2155,538,2917,677,2561,575,1108,424,2237,566
0500000US34013,34013,"Essex County, New Jersey",797434,*****,383250,348,27196,214,25246,1727,28642,1727,15935,4,10201,220,5946,1270,6517,1113,15042,1270,26876,7,25823,7,27028,2019,27877,1979,28123,269,27634,5,24251,1490,9343,1277,10636,1167,6748,1081,8660,1094,9783,1125,6967,809,3755,643,5021,747,414184,348,26257,214,23489,1845,28608,1854,15894,274,9994,495,5786,1028,5304,1221,15573,1354,27535,4,27881,4,28964,1840,28810,1837,29986,198,29194,3,26702,1467,10258,1183,14011,1292,7064,1149,11469,1241,13635,1496,7839,1173,9703,1149,10228,1275
0500000US34015,34015,"Gloucester County, New Jersey",291479,*****,141774,866,7963,708,9517,1246,9738,1180,6375,286,3623,482,2631,995,2941,687,4984,1054,8694,639,7929,717,7049,1324,11606,1344,9642,266,11487,423,10879,951,4448,883,4077,765,2474,614,4298,789,4620,699,3348,652,1952,536,1499,391,149705,866,7810,814,9366,972,8979,881,6136,550,3812,690,2284,666,1682,599,4563,885,9244,498,8727,817,10102,1306,10060,1206,10561,255,11668,354,11029,985,3813,744,5999,846,3047,598,4504,717,6064,743,4042,738,2674,609,3539,592
0500000US34017,34017,"Hudson County, New Jersey",674836,*****,335619,419,24031,2,19081,1472,16368,1463,10345,5,7121,5,3891,893,4102,872,15903,1128,35436,7,37136,3,29281,1998,25545,1992,21778,7,21042,124,17512,1312,7351,1193,9011,1053,5251,910,5131,938,8398,1108,5036,896,4055,806,2814,637,339217,419,22936,5,17968,1346,16227,1342,9435,4,6003,228,3320,1018,3434,969,15354,1261,34203,4,34784,77,27972,1616,23353,1645,22063,242,21805,446,19632,1500,7806,1382,10081,1294,6896,1130,8180,1153,8394,1298,7000,1130,5420,1061,6951,954
